CBSA Code,CBSA Title,county_fips,County/County Equivalent,State Name,cbsa_title_clean,cbsa_title,population_2024
38240,"Pinehurst-Southern Pines, NC",37125,Moore County,North Carolina,"Pinehurst-Southern Pines, NC",".Pinehurst-Southern Pines, NC Metro Area",108417.0
38300,"Pittsburgh, PA",42003,Allegheny County,Pennsylvania,"Pittsburgh, PA",".Pittsburgh, PA Metro Area",2429917.0
38300,"Pittsburgh, PA",42005,Armstrong County,Pennsylvania,"Pittsburgh, PA",".Pittsburgh, PA Metro Area",2429917.0
38300,"Pittsburgh, PA",42007,Beaver County,Pennsylvania,"Pittsburgh, PA",".Pittsburgh, PA Metro Area",2429917.0
38300,"Pittsburgh, PA",42019,Butler County,Pennsylvania,"Pittsburgh, PA",".Pittsburgh, PA Metro Area",2429917.0
38300,"Pittsburgh, PA",42051,Fayette County,Pennsylvania,"Pittsburgh, PA",".Pittsburgh, PA Metro Area",2429917.0
38300,"Pittsburgh, PA",42073,Lawrence County,Pennsylvania,"Pittsburgh, PA",".Pittsburgh, PA Metro Area",2429917.0
38300,"Pittsburgh, PA",42125,Washington County,Pennsylvania,"Pittsburgh, PA",".Pittsburgh, PA Metro Area",2429917.0
38300,"Pittsburgh, PA",42129,Westmoreland County,Pennsylvania,"Pittsburgh, PA",".Pittsburgh, PA Metro Area",2429917.0
38340,"Pittsfield, MA",25003,Berkshire County,Massachusetts,"Pittsfield, MA",".Pittsfield, MA Metro Area",128726.0
38540,"Pocatello, ID",16005,Bannock County,Idaho,"Pocatello, ID",".Pocatello, ID Metro Area",91010.0
38660,"Ponce, PR",72059,Guayanilla Municipio,Puerto Rico,"Ponce, PR",".Ponce, PR Metro Area",265039.0
38660,"Ponce, PR",72075,Juana Díaz Municipio,Puerto Rico,"Ponce, PR",".Ponce, PR Metro Area",265039.0
38660,"Ponce, PR",72111,Peñuelas Municipio,Puerto Rico,"Ponce, PR",".Ponce, PR Metro Area",265039.0
38660,"Ponce, PR",72113,Ponce Municipio,Puerto Rico,"Ponce, PR",".Ponce, PR Metro Area",265039.0
38660,"Ponce, PR",72149,Villalba Municipio,Puerto Rico,"Ponce, PR",".Ponce, PR Metro Area",265039.0
